# athena_event_details,athena id,external id,datetime,time error,time rms,latitude,longitude,ellipse major,ellipse minor,magnitude,magnitude type,depth (km),depth error,num. stations,num. phases,azimuth gap,analysis type,place,major place,athena database id,error ellipse max axis length (km),error ellipse max axis azimuth (deg),error ellipse max axis dip (deg),error ellipse intermediate axis length (km),error ellipse intermediate axis azimuth (deg),error ellipse intermediate axis dip (deg),error ellipse min axis length (km),error ellipse min axis azimuth (deg),error ellipse min axis dip (deg),seismic moment (N.m),corner frequency (Hz),stress drop (MPa),source radius (km),moment tensor np1 dip,moment tensor np1 strike,moment tensor np1 rake,tags,updated at,moment tensor np2 dip,moment tensor np2 strike,moment tensor np2 rake,event source type,reference elevation (km),horizontal error (km)
athena_event_details,20230207-11,,2023-02-07T13:36:43Z,,0.66,36.03516666666667,36.031333333333336,,,4.3,Ml,33.00,56.51,17,24,334.0,m,,214.0 km NE of Ammochostos,74829,56.51,0.0,90.0,6.61,154.0,0.0,2.84,244.0,0.0,,,,,,,,"",2023-02-10T07:50:46.196Z,,,,Nanometrics,0.183,
athena_event_details,20230207-26,,2023-02-07T07:54:28Z,,0.0,36.6443,36.3078,,,4.0,mb,10.00,0,0,0,0.0,m,,272.0 km NE of Ammochostos,74848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,"",2023-02-10T13:43:03.132Z,,,,Nanometrics,0.0,
athena_event_details,20230207-15,,2023-02-07T05:26:31Z,,0.3,36.72416666666667,35.94616666666667,,,4.6,Ml,35.00,31.61,16,22,339.0,m,,253.0 km NE of Ammochostos,74835,31.61,0.0,90.0,3.49,136.0,0.0,1.44,226.0,0.0,,,,,,,,"",2023-02-10T10:36:17.689Z,,,,Nanometrics,0.114,
athena_event_details,20230207-23,,2023-02-07T04:42:07Z,,0.0,36.86,36.57,,,4.4,mb,10.00,0,0,0,0.0,m,,305.0 km NE of Ammochostos,74845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,"",2023-02-10T13:41:23.153Z,,,,Nanometrics,0.0,
athena_event_details,20230207-13,,2023-02-07T03:37:01Z,,0.47,36.499,36.120333333333335,,,4.4,Ml,35.00,37.10,19,25,338.0,m,,249.0 km NE of Ammochostos,74832,37.11,159.0,89.0,5.32,326.0,0.0,2.08,56.0,0.0,,,,,,,,"",2023-02-10T09:58:10.198Z,,,,Nanometrics,0.114,
athena_event_details,20230207-19,,2023-02-07T02:47:42Z,,0.0,35.9829,35.9304,,,4.8,mb,40.00,0,0,0,0.0,m,,203.0 km NE of Ammochostos,74841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,"",2023-02-10T13:39:12.003Z,,,,Nanometrics,0.0,
athena_event_details,20230206-6,,2023-02-06T23:29:04Z,,0.67,35.9945,36.468333333333334,,,4.5,Ml,35.41,52.94,27,17,347.0,m,,248.0 km NE of Ammochostos,74771,53.05,171.0,86.0,13.51,338.0,3.0,3.38,68.0,1.0,,,,,,,,"",2023-02-08T10:39:16.560Z,,,,Nanometrics,0.183,
athena_event_details,20230206-24,,2023-02-06T20:44:00Z,,0.0,37.98,36.49,,,4.8,mb,2.00,0,0,0,0.0,m,,391.0 km NE of Ammochostos,74813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,"",2023-02-09T13:29:55.234Z,,,,Nanometrics,0.0,
athena_event_details,20230206-22,,2023-02-06T17:31:35Z,,0.0,37.0953,36.6927,,,4.5,mb,10.00,0,0,0,0.0,m,,330.0 km NE of Ammochostos,74811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,"",2023-02-09T13:28:59.024Z,,,,Nanometrics,0.0,
athena_event_details,20230206-16,,2023-02-06T14:27:51Z,,0.0,37.0517,36.2475,,,4.8,mb,10.00,0,0,0,0.0,m,,298.0 km NE of Ammochostos,74808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,"",2023-02-09T13:27:36.964Z,,,,Nanometrics,0.0,
